tt0120789;pleasantville;1998;7.5;0;3;0.38;0;0.00;Comedy;Drama;Fantasy
tt1287878;poetry;2010;7.8;0;0;0.00;0;0.00;Drama
tt0929632;precious;2009;7.3;2;4;11.25;0;0.00;Drama
tt2397535;predestination;2014;7.5;0;0;0.00;0;0.00;Drama;Mystery;Sci-Fi
tt0119698;princess_mononoke;1997;8.4;0;0;0.00;0;0.00;Animation;Adventure;Fantasy
tt1392214;prisoners;2013;8.1;0;1;0.75;0;0.00;Crime;Drama;Mystery
tt2436386;project_almanac;2015;6.4;0;0;0.00;0;0.00;Sci-Fi;Thriller
tt1152836;public_enemies;2009;7.0;0;0;0.00;0;0.00;Biography;Crime;Drama
tt0110912;pulp_fiction;1994;8.9;1;6;10.25;2;11.00;Crime;Drama
tt0272338;punch_drunk_love;2002;7.3;0;0;0.00;0;0.00;Comedy;Drama;Romance
tt0081398;raging_bull;1980;8.2;2;6;11.75;0;0.00;Biography;Drama;Sport
tt0082971;raiders_of_the_lost_ark;1981;8.5;4;4;10.75;0;0.00;Action;Adventure
tt0095953;rain_man;1988;8.0;4;4;19.88;1;8.00;Drama
tt0089881;ran;1985;8.3;1;3;2.38;0;0.00;Action;Drama
tt0405508;rang_de_basanti;2006;8.4;0;0;0.00;0;0.00;Comedy;Drama;History
tt0042876;rashomon;1950;8.3;0;1;0.12;0;0.00;Crime;Drama;Mystery
tt4954522;raw;2016;7.2;0;0;0.00;0;0.00;Horror
tt0047396;rear_window;1954;8.5;0;4;3.50;0;0.00;Mystery;Thriller
tt0032976;rebecca;1940;8.2;2;9;14.12;0;0.00;Drama;Mystery;Romance
tt0059646;repulsion;1965;7.8;0;0;0.00;0;0.00;Drama;Horror;Thriller
tt0105236;reservoir_dogs;1992;8.4;0;0;0.00;0;0.00;Crime;Drama;Thriller
tt0959337;revolutionary_road;2008;7.3;0;3;0.88;0;0.00;Drama;Romance
tt1990314;robot_&_frank;2012;7.1;0;0;0.00;0;0.00;Comedy;Crime;Drama
tt0079817;rocky_ii;1979;7.2;0;0;0.00;0;0.00;Drama;Sport
tt0084602;rocky_iii;1982;6.7;0;1;0.25;0;0.00;Drama;Sport
tt0089927;rocky_iv;1985;6.8;0;0;0.00;0;0.00;Drama;Sport
